Accession,Species,Total read count,16S read count,16S on target %,ITS read count,ITS on target %,Symbiosis read count,Symbiosis on target %,Batch
DEJU-48-Rh,Alnus viridis,14701476,8662678,58.92%,2691502,18.31%,1703060,11.58%,May-25
DEJU-48-Ro,Alnus viridis,124778,25304,20.28%,15296,12.26%,3580,2.87%,May-25
DEJU-50-No,Alnus viridis,18282522,6751014,36.93%,1233462,6.75%,10744760,58.77%,May-25
DEJU-50-Rh,Alnus viridis,290026,219728,75.76%,72084,24.85%,21872,7.54%,May-25
DEJU-50-Ro,Alnus viridis,594290,457036,76.90%,303630,51.09%,8808,1.48%,May-25
DEJU-51-1-No,Alnus viridis,26091794,11485394,44.02%,2705204,10.37%,16941964,64.93%,May-25
DEJU-51-1-Rh,Alnus viridis,3762550,2208422,58.69%,1246628,33.13%,115218,3.06%,May-25
DEJU-51-1-Ro,Alnus viridis,2593014,2297536,88.60%,1135588,43.79%,27686,1.07%,May-25
DEJU-5-1-No,Alnus viridis,13825382,4589006,33.19%,1519452,10.99%,10062166,72.78%,May-25
DEJU-5-1-Rh,Alnus viridis,5076106,2883766,56.81%,1411518,27.81%,212418,4.18%,May-25
DEJU-5-1-Ro,Alnus viridis,12759534,9403610,73.70%,5331876,41.79%,880416,6.90%,May-25
DEJU-52-1-No,Alnus viridis,4791008,3575044,74.62%,1259860,26.30%,492812,10.29%,May-25
DEJU-52-1-Rh,Alnus viridis,2463298,1559348,63.30%,899856,36.53%,78820,3.20%,May-25
DEJU-52-1-Ro,Alnus viridis,2912256,2207140,75.79%,1356058,46.56%,20182,0.69%,May-25
DEJU-53-No,Alnus viridis,9754760,3944662,40.44%,1169774,11.99%,5524284,56.63%,May-25
DEJU-53-Rh,Alnus viridis,2966492,1782954,60.10%,355054,11.97%,73460,2.48%,May-25
DEJU-53-Ro,Alnus viridis,2549058,2122622,83.27%,1925316,75.53%,5514,0.22%,May-25
DEJU-6-1-No,Alnus viridis,10057798,3291838,32.73%,391018,3.89%,6023932,59.89%,May-25
DEJU-6-1-Rh,Alnus viridis,23336070,12808668,54.89%,4929000,21.12%,2473162,10.60%,May-25
DEJU-6-1-Ro,Alnus viridis,535460,393470,73.48%,259102,48.39%,50578,9.45%,May-25
DEJU-62-1-No,Lupinus arcticus,10393998,7244030,69.69%,5169054,49.73%,1952980,18.79%,May-25
DEJU-62-1-Rh,Lupinus arcticus,880990,741358,84.15%,264442,30.02%,14076,1.60%,May-25
DEJU-62-1-Ro,Lupinus arcticus,14857530,12669950,85.28%,4638212,31.22%,49120,0.33%,May-25
DEJU-7-1-No,Alnus viridis,10626764,3757262,35.36%,605214,5.70%,6198914,58.33%,May-25
DEJU-7-1-Rh,Alnus viridis,11867510,3520978,29.67%,1172314,9.88%,6402726,53.95%,May-25
DEJU-7-1-Ro,Alnus viridis,7681732,5414480,70.49%,3111410,40.50%,182420,2.37%,May-25
DEJU-8-1-No,Alnus viridis,12567020,6163452,49.04%,1623536,12.92%,6108982,48.61%,May-25
DEJU-8-1-Rh,Alnus viridis,8063676,5455192,67.65%,782738,9.71%,525246,6.51%,May-25
DEJU-8-1-Ro,Alnus viridis,976910,842724,86.26%,576392,59.00%,11882,1.22%,May-25
DELA-10-2-No,Desmodium perplexum,13478524,7720774,57.28%,1213904,9.01%,5265468,39.07%,May-25
DELA-10-2-Rh,Desmodium perplexum,7176900,5161802,71.92%,1107818,15.44%,221716,3.09%,May-25
DELA-10-2-Ro,Desmodium perplexum,7694444,6739666,87.59%,1818278,23.63%,61646,0.80%,May-25
DELA-13-1-No,Hylodesmum pauciflorum,4266156,1664546,39.02%,565072,13.25%,1001614,23.48%,May-25
DELA-13-1-Rh,Hylodesmum pauciflorum,1761626,739190,41.96%,129696,7.36%,649334,36.86%,May-25
DELA-13-1-Ro,Hylodesmum pauciflorum,2683470,2090920,77.92%,639662,23.84%,16290,0.61%,May-25
DELA-14-2-No,Desmodium perplexum,9719882,5251100,54.02%,1328186,13.66%,3348584,34.45%,May-25
DELA-14-2-Rh,Desmodium perplexum,4827864,2454672,50.84%,241888,5.01%,1409982,29.21%,May-25
DELA-14-2-Ro,Desmodium perplexum,5724036,3073810,53.70%,600152,10.48%,876936,15.32%,May-25
DELA-15-1-No,Lespedeza cuneata,6279784,3069746,48.88%,384900,6.13%,2226896,35.46%,May-25
DELA-15-1-Rh,Lespedeza cuneata,2831948,1432354,50.58%,226094,7.98%,621488,21.95%,May-25
DELA-15-1-Ro,Lespedeza cuneata,7688786,6586456,85.66%,1929430,25.09%,207972,2.70%,May-25
DELA-18-2-No,Galactia volubilis,97650876,81138696,83.09%,12627850,12.93%,9144504,9.36%,May-25
DELA-18-2-Rh,Galactia volubilis,3887870,1851744,47.63%,420096,10.81%,728154,18.73%,May-25
DELA-18-2-Ro,Galactia volubilis,3518448,2689578,76.44%,978112,27.80%,40184,1.14%,May-25
DELA-20-1-No,Galactia volubilis,9105136,7620420,83.69%,1997854,21.94%,730208,8.02%,May-25
DELA-20-1-Rh,Galactia volubilis,2489020,948934,38.12%,257230,10.33%,625746,25.14%,May-25
DELA-20-1-Ro,Galactia volubilis,4630520,2459008,53.10%,373104,8.06%,688374,14.87%,May-25
DELA-2-2-No,Lespedeza cuneata,3384824,2148600,63.48%,533810,15.77%,177222,5.24%,May-25
DELA-2-2-Rh,Lespedeza cuneata,13681692,11473294,83.86%,2059244,15.05%,458546,3.35%,May-25
DELA-2-2-Ro,Lespedeza cuneata,3691320,2559818,69.35%,850590,23.04%,13120,0.36%,May-25
DELA-24-1-No,Desmodium perplexum,8232568,3832700,46.56%,1361438,16.54%,3252384,39.51%,May-25
DELA-24-1-Rh,Desmodium perplexum,32540010,4835864,14.86%,6499690,19.97%,361290,1.11%,May-25
DELA-24-1-Ro,Desmodium perplexum,4227528,3366200,79.63%,1418928,33.56%,52250,1.24%,May-25
DELA-25-2-No,Chamaecrista fasciculata,20116290,7397934,36.78%,3483024,17.31%,11386164,56.60%,May-25
DELA-25-2-Rh,Chamaecrista fasciculata,4453080,2457112,55.18%,395014,8.87%,218884,4.92%,May-25
DELA-25-2-Ro,Chamaecrista fasciculata,6164124,5300302,85.99%,3064204,49.71%,39012,0.63%,May-25
DELA-8-2-No,Hylodesmum pauciflorum,5033038,2090032,41.53%,539740,10.72%,2153108,42.78%,May-25
DELA-8-2-Rh,Hylodesmum pauciflorum,1230902,834234,67.77%,82708,6.72%,100362,8.15%,May-25
DELA-8-2-Ro,Hylodesmum pauciflorum,20596340,17547008,85.19%,7828658,38.01%,61524,0.30%,May-25
DELA-9-1-No,Amphicarpaea bracteata,9469636,6594454,69.64%,1842808,19.46%,2083410,22.00%,May-25
DELA-9-1-Rh,Amphicarpaea bracteata,682682,615286,90.13%,350384,51.32%,4836,0.71%,May-25
DELA-9-1-Ro,Amphicarpaea bracteata,14033106,12661468,90.23%,4475086,31.89%,15100,0.11%,May-25
DSNY-101-1-No,Crotalaria spectabilis,29740102,10260692,34.50%,4323780,14.54%,18734410,62.99%,May-25
DSNY-101-1-Rh,Crotalaria spectabilis,9570824,5895168,61.60%,1983390,20.72%,662602,6.92%,May-25
DSNY-10-3-No,Crotalaria spectabilis,8824282,1515218,17.17%,358176,4.06%,7079042,80.22%,May-25
DSNY-10-3-Rh,Crotalaria spectabilis,473562,296052,62.52%,28580,6.04%,31866,6.73%,May-25
DSNY-10-3-Ro,Crotalaria spectabilis,3897838,2512080,64.45%,2214312,56.81%,53248,1.37%,May-25
DSNY-11-3-No,Crotalaria pallida var. obovata,18852662,2754584,14.61%,646458,3.43%,16530852,87.68%,May-25
DSNY-11-3-Ro,Crotalaria pallida var. obovata,924526,617050,66.74%,484390,52.39%,3612,0.39%,May-25
DSNY-12-2-No,Crotalaria pallida var. obovata,11020942,2098480,19.04%,813988,7.39%,8218812,74.57%,May-25
DSNY-12-2-Ro,Crotalaria pallida var. obovata,4307082,1124956,26.12%,1094800,25.42%,34474,0.80%,May-25
DSNY-13-1-No,Crotalaria pallida var. obovata,3444232,1730580,50.25%,993582,28.85%,737140,21.40%,May-25
DSNY-13-1-Rh,Crotalaria pallida var. obovata,1886322,787734,41.76%,515582,27.33%,105406,5.59%,May-25
DSNY-13-1-Ro,Crotalaria pallida var. obovata,2316300,1453784,62.76%,943942,40.75%,35310,1.52%,May-25
DSNY-14-1-No,Crotalaria pallida var. obovata,5354076,881094,16.46%,373610,6.98%,3146420,58.77%,May-25
DSNY-14-1-Rh,Crotalaria pallida var. obovata,4966760,3730310,75.11%,1036540,20.87%,198486,4.00%,May-25
DSNY-14-1-Ro,Crotalaria pallida var. obovata,6894592,4426976,64.21%,4222914,61.25%,703858,10.21%,May-25
DSNY-15-1-No,Morella cerifera,9550582,4475908,46.87%,867168,9.08%,3416490,35.77%,May-25
DSNY-15-1-Rh,Morella cerifera,240510,136784,56.87%,65100,27.07%,9616,4.00%,May-25
DSNY-15-1-Ro,Morella cerifera,537344,399360,74.32%,306564,57.05%,20568,3.83%,May-25
DSNY-17-3-No,Crotalaria maritima,7554508,3484702,46.13%,1346004,17.82%,3035148,40.18%,May-25
DSNY-17-3-Rh,Crotalaria maritima,117160,72216,61.64%,18982,16.20%,12398,10.58%,May-25
DSNY-18-1-No,Morella cerifera,8686414,3882722,44.70%,559894,6.45%,4126808,47.51%,May-25
DSNY-18-1-Rh,Morella cerifera,109490,73068,66.73%,29396,26.85%,6386,5.83%,May-25
DSNY-18-1-Ro,Morella cerifera,3726038,2140492,57.45%,948358,25.45%,142404,3.82%,May-25
DSNY-19-1-No,Crotalaria maritima,10214696,3457134,33.84%,1269588,12.43%,4759786,46.60%,May-25
DSNY-19-1-Rh,Crotalaria maritima,15576678,9318476,59.82%,2128430,13.66%,2274886,14.60%,May-25
DSNY-20-1-No,Morella cerifera,10343342,3624080,35.04%,867092,8.38%,6620838,64.01%,May-25
DSNY-20-1-Rh,Morella cerifera,114080,89628,78.57%,33792,29.62%,3090,2.71%,May-25
DSNY-20-1-Ro,Morella cerifera,277984,234676,84.42%,196624,70.73%,3684,1.33%,May-25
DSNY-21-1-No,Morella pumilia,10746370,5043580,46.93%,1655390,15.40%,4047690,37.67%,May-25
DSNY-21-1-Rh,Morella pumilia,15025430,11482300,76.42%,3038076,20.22%,555862,3.70%,May-25
DSNY-21-1-Ro,Morella pumilia,61718,40866,66.21%,18794,30.45%,6778,10.98%,May-25
DSNY-2-1-No,Lupinus floridanus,3133816,804652,25.68%,222406,7.10%,1905974,60.82%,May-25
DSNY-2-1-Rh,Lupinus floridanus,13102802,1659792,12.67%,1621738,12.38%,4754960,36.29%,May-25
DSNY-2-1-Ro,Lupinus floridanus,1664508,1197980,71.97%,673592,40.47%,56156,3.37%,May-25
DSNY-22-3-No,Macroptilium lathyroides,27572116,17221256,62.46%,8177774,29.66%,5972910,21.66%,May-25
DSNY-22-3-Rh,Macroptilium lathyroides,12622460,4789680,37.95%,3747484,29.69%,385824,3.06%,May-25
DSNY-22-3-Ro,Macroptilium lathyroides,28411038,21415726,75.38%,17540966,61.74%,151934,0.53%,May-25
DSNY-24-1-No,Lupinus floridanus,20920204,6163144,29.46%,2844006,13.59%,11082694,52.98%,May-25
DSNY-24-1-Rh,Lupinus floridanus,7880768,4683610,59.43%,1229076,15.60%,667678,8.47%,May-25
DSNY-24-1-Ro,Lupinus floridanus,8325888,5431026,65.23%,4817194,57.86%,421244,5.06%,May-25
DSNY-25-1-No,Lupinus floridanus,6616190,3932366,59.44%,3656186,55.26%,497516,7.52%,May-25
DSNY-25-1-Rh,Lupinus floridanus,39542,19742,49.93%,8800,22.25%,5242,13.26%,May-25
DSNY-25-1-Ro,Lupinus floridanus,6254340,4011784,64.14%,2475772,39.58%,240890,3.85%,May-25
DSNY-26-1-No,Lupinus floridanus,10051688,5036906,50.11%,2874294,28.60%,2728894,27.15%,May-25
DSNY-26-1-Rh,Lupinus floridanus,10593768,5097722,48.12%,2269244,21.42%,863386,8.15%,May-25
DSNY-26-1-Ro,Lupinus floridanus,10095940,3644614,36.10%,3046158,30.17%,739832,7.33%,May-25
DSNY-27-1-No,Morella pumilia cf sp.,8284052,4491810,54.22%,1168118,14.10%,2308934,27.87%,May-25
DSNY-27-1-Rh,Morella pumilia cf sp.,21518,11242,52.24%,6318,29.36%,2368,11.00%,May-25
DSNY-27-1-Ro,Morella pumilia cf sp.,2623628,1794496,68.40%,965462,36.80%,56354,2.15%,May-25
DSNY-28-1-No,Morella cerifera cf sp.,4607060,2741494,59.51%,591342,12.84%,182536,3.96%,May-25
DSNY-28-1-Rh,Morella cerifera cf sp.,1584926,1084326,68.41%,496014,31.30%,35942,2.27%,May-25
DSNY-28-1-Ro,Morella cerifera cf sp.,3101388,2197104,70.84%,1235936,39.85%,23670,0.76%,May-25
DSNY-29-1-No,Morella cerifera cf sp.,6965044,3823768,54.90%,410876,5.90%,2154856,30.94%,May-25
DSNY-29-1-Rh,Morella cerifera cf sp.,912696,371356,40.69%,286466,31.39%,24640,2.70%,May-25
DSNY-29-1-Ro,Morella cerifera cf sp.,3451294,1998764,57.91%,685580,19.86%,51442,1.49%,May-25
DSNY-30-1-No,Crotalaria maritima,7914554,3482252,44.00%,1991132,25.16%,416842,5.27%,May-25
DSNY-30-1-Rh,Crotalaria maritima,9176756,2737774,29.83%,2382832,25.97%,276710,3.02%,May-25
DSNY-30-1-Ro,Crotalaria maritima,5680610,2320388,40.85%,1499630,26.40%,54110,0.95%,May-25
DSNY-31-1-No,Macroptilium lathyroides,7344294,2571826,35.02%,249346,3.40%,3683224,50.15%,May-25
DSNY-31-1-Rh,Macroptilium lathyroides,7753992,6327178,81.60%,1111266,14.33%,197438,2.55%,May-25
DSNY-31-1-Ro,Macroptilium lathyroides,15953256,14027822,87.93%,5778124,36.22%,45342,0.28%,May-25
DSNY-3-1-No,Lupinus floridanus,3285808,1383264,42.10%,673734,20.50%,1039718,31.64%,May-25
DSNY-3-1-Rh,Lupinus floridanus,21226566,4956898,23.35%,4780082,22.52%,115396,0.54%,May-25
DSNY-3-1-Ro,Lupinus floridanus,1884704,1315590,69.80%,702794,37.29%,36646,1.94%,May-25
DSNY-34-1-No,Crotalaria maritima,6966412,3507594,50.35%,1689272,24.25%,1542464,22.14%,May-25
DSNY-34-1-Rh,Crotalaria maritima,8299642,5420320,65.31%,1343288,16.18%,328836,3.96%,May-25
DSNY-34-1-Ro,Crotalaria maritima,2622086,1863768,71.08%,832802,31.76%,15788,0.60%,May-25
DSNY-36-1-No,Tephrosia sp.,2451056,1378354,56.24%,334988,13.67%,127758,5.21%,May-25
DSNY-36-1-Rh,Tephrosia sp.,16577436,6633084,40.01%,2861694,17.26%,482110,2.91%,May-25
DSNY-36-1-Ro,Tephrosia sp.,7259640,5766382,79.43%,2818934,38.83%,23714,0.33%,May-25
DSNY-37-1-No,Crotalaria pallida cf sp.,16383940,1463494,8.93%,155784,0.95%,14411612,87.96%,May-25
DSNY-37-1-Rh,Crotalaria pallida cf sp.,1957382,1418000,72.44%,251406,12.84%,131966,6.74%,May-25
DSNY-37-1-Ro,Crotalaria pallida cf sp.,8006698,5975174,74.63%,3732288,46.61%,60780,0.76%,May-25
DSNY-38-3-No,Indigofera hirsuta,5655648,2306488,40.78%,1862338,32.93%,1132478,20.02%,May-25
DSNY-38-3-Rh,Indigofera hirsuta,23157182,11259964,48.62%,4951062,21.38%,936070,4.04%,May-25
DSNY-38-3-Ro,Indigofera hirsuta,8384078,6188304,73.81%,4092174,48.81%,76282,0.91%,May-25
DSNY-39-4-No,Macroptilium lathyroides,13926486,3904638,28.04%,1878606,13.49%,8137922,58.43%,May-25
DSNY-39-4-Rh,Macroptilium lathyroides,24298232,4739822,19.51%,5135410,21.13%,781594,3.22%,May-25
DSNY-39-4-Ro,Macroptilium lathyroides,17170784,14973052,87.20%,4038694,23.52%,139264,0.81%,May-25
DSNY-40-2-No,Galactia elliottii,3664416,2080886,56.79%,411484,11.23%,182902,4.99%,May-25
DSNY-40-2-Rh,Galactia elliottii,5931870,1815030,30.60%,1820554,30.69%,400196,6.75%,May-25
DSNY-40-2-Ro,Galactia elliottii,7568800,6192542,81.82%,2131256,28.16%,19932,0.26%,May-25
DSNY-4-1-No,Morella cerifera,9131636,3379086,37.00%,857430,9.39%,5651138,61.89%,May-25
DSNY-4-1-Rh,Morella cerifera,18666,7868,42.15%,4468,23.94%,756,4.05%,May-25
DSNY-4-1-Ro,Morella cerifera,1614954,1238764,76.71%,1187110,73.51%,3028,0.19%,May-25
DSNY-43-1-No,Tephrosia spicata,6825352,2172588,31.83%,531908,7.79%,3407730,49.93%,May-25
DSNY-43-1-Rh,Tephrosia spicata,30945820,11351916,36.68%,6666322,21.54%,1144440,3.70%,May-25
DSNY-43-1-Ro,Tephrosia spicata,2871824,1577896,54.94%,415874,14.48%,288966,10.06%,May-25
DSNY-44-1-No,Sesbania vesicaria,3951516,1793146,45.38%,579668,14.67%,1628086,41.20%,May-25
DSNY-44-1-Rh,Sesbania vesicaria,6793388,4279742,63.00%,1218106,17.93%,805462,11.86%,May-25
DSNY-44-1-Ro,Sesbania vesicaria,10659610,7781154,73.00%,6149326,57.69%,79618,0.75%,May-25
DSNY-48-1-No,Chamaecrista nictitans,7629360,5321916,69.76%,822948,10.79%,1179110,15.45%,May-25
DSNY-48-1-Rh,Chamaecrista nictitans,774996,374066,48.27%,166038,21.42%,88180,11.38%,May-25
DSNY-48-1-Ro,Chamaecrista nictitans,7442584,6175814,82.98%,2363194,31.75%,44042,0.59%,May-25
DSNY-49-2-No,Chamaecrista nictitans,7797158,3390094,43.48%,1382972,17.74%,2998068,38.45%,May-25
DSNY-49-2-Rh,Chamaecrista nictitans,9379664,5588924,59.59%,1755434,18.72%,916252,9.77%,May-25
DSNY-49-2-Ro,Chamaecrista nictitans,4780324,3168970,66.29%,1230282,25.74%,77582,1.62%,May-25
DSNY-50-1-No,Macroptilium lathyroides,12720482,6415254,50.43%,5510032,43.32%,4457318,35.04%,May-25
DSNY-50-1-Rh,Macroptilium lathyroides,5258116,3053796,58.08%,1113730,21.18%,519132,9.87%,May-25
DSNY-50-1-Ro,Macroptilium lathyroides,7405790,5468412,73.84%,3943842,53.25%,14116,0.19%,May-25
DSNY-51-2-No,Crotalaria spectabilis,17324484,6844524,39.51%,4993610,28.82%,8397230,48.47%,May-25
DSNY-51-2-Rh,Crotalaria spectabilis,26950088,12442340,46.17%,5050512,18.74%,3431188,12.73%,May-25
DSNY-51-2-Ro,Crotalaria spectabilis,13258228,10083164,76.05%,5892848,44.45%,32936,0.25%,May-25
DSNY-5-1-No,Crotalaria maritima,20243286,10221520,50.49%,5828766,28.79%,2048088,10.12%,May-25
DSNY-5-1-Rh,Crotalaria maritima,884364,440180,49.77%,176068,19.91%,45444,5.14%,May-25
DSNY-5-1-Ro,Crotalaria maritima,10283968,6507640,63.28%,1598392,15.54%,18106,0.18%,May-25
DSNY-52-1-No,Chamaecrista nictitans,8618908,3576638,41.50%,1167276,13.54%,3114088,36.13%,May-25
DSNY-52-1-Rh,Chamaecrista nictitans,6771062,3139610,46.37%,1373624,20.29%,904558,13.36%,May-25
DSNY-52-1-Ro,Chamaecrista nictitans,7350810,3494388,47.54%,2117462,28.81%,624728,8.50%,May-25
DSNY-53-1-No,Galactia elliottii,12071196,10580556,87.65%,4138944,34.29%,141996,1.18%,May-25
DSNY-53-1-Rh,Galactia elliottii,865978,602332,69.56%,206648,23.86%,48470,5.60%,May-25
DSNY-53-1-Ro,Galactia elliottii,6944460,5872328,84.56%,2848638,41.02%,13478,0.19%,May-25
DSNY-54-1-No,Tephrosia virginiana,7291860,3005108,41.21%,210614,2.89%,3208534,44.00%,May-25
DSNY-54-1-Rh,Tephrosia virginiana,2257698,849660,37.63%,350586,15.53%,108844,4.82%,May-25
DSNY-54-1-Ro,Tephrosia virginiana,8604818,7599524,88.32%,2759892,32.07%,11478,0.13%,May-25
DSNY-56-1-No,Sesbania vesicaria,13595694,7572902,55.70%,9713088,71.44%,2220008,16.33%,May-25
DSNY-56-1-Rh,Sesbania vesicaria,7979274,1942104,24.34%,1904282,23.87%,92176,1.16%,May-25
DSNY-56-1-Ro,Sesbania vesicaria,3891124,1981280,50.92%,867980,22.31%,180548,4.64%,May-25
DSNY-57-1-Rh,Sesbania vesicaria,3630842,1653868,45.55%,622854,17.15%,267828,7.38%,May-25
DSNY-57-1-Ro,Sesbania vesicaria,16387404,11042112,67.38%,13418888,81.89%,12396,0.08%,May-25
DSNY-57-No,Sesbania vesicaria,17978056,13643430,75.89%,10535074,58.60%,812674,4.52%,May-25
DSNY-58-No,Sesbania vesicaria,13458078,6810022,50.60%,5429016,40.34%,4373778,32.50%,May-25
DSNY-58-Rh,Sesbania vesicaria,4736612,2369760,50.03%,518654,10.95%,813210,17.17%,May-25
DSNY-59-No,Sesbania vesicaria,16876638,8780204,52.03%,6156768,36.48%,5605258,33.21%,May-25
DSNY-59-Rh,Sesbania vesicaria,3852334,2109576,54.76%,489522,12.71%,599382,15.56%,May-25
DSNY-59-Ro,Sesbania vesicaria,20645362,12532374,60.70%,7625806,36.94%,6065536,29.38%,May-25
DSNY-61-4-Rh,Desmodium incanum,5866178,3473736,59.22%,917842,15.65%,233848,3.99%,May-25
DSNY-61-4-Ro,Desmodium incanum,1587096,1307300,82.37%,280086,17.65%,12988,0.82%,May-25
DSNY-6-2-No,Morella pumila,15920318,8762200,55.04%,3388422,21.28%,5807432,36.48%,May-25
DSNY-6-2-Rh,Morella pumila,31124,14822,47.62%,6360,20.43%,4380,14.07%,May-25
DSNY-6-2-Ro,Morella pumila,59970,29106,48.53%,4560,7.60%,1052,1.75%,May-25
DSNY-63-No,Tephrosia hispidula,6374508,4115864,64.57%,1745310,27.38%,1358842,21.32%,May-25
DSNY-63-Rh,Tephrosia hispidula,1293856,1035266,80.01%,512334,39.60%,13802,1.07%,May-25
DSNY-63-Ro,Tephrosia hispidula,4963840,4422714,89.10%,1102320,22.21%,9624,0.19%,May-25
DSNY-64-2-No,Desmodium triflorum,14684874,9132950,62.19%,2120852,14.44%,2972674,20.24%,May-25
DSNY-64-2-Rh,Desmodium triflorum,1928442,1482814,76.89%,280074,14.52%,47672,2.47%,May-25
DSNY-64-2-Ro,Desmodium triflorum,546244,525722,96.24%,77044,14.10%,8398,1.54%,May-25
DSNY-65-1-No,Desmodium triflorum,8304712,4231360,50.95%,720388,8.67%,1557272,18.75%,May-25
DSNY-65-1-Rh,Desmodium triflorum,6221954,2657896,42.72%,870728,13.99%,686052,11.03%,May-25
DSNY-65-1-Ro,Desmodium triflorum,5113114,3781132,73.95%,2715956,53.12%,16424,0.32%,May-25
DSNY-66-1-No,Chamaecrista fasciculata,10585234,4861528,45.93%,1614816,15.26%,3944936,37.27%,May-25
DSNY-66-1-Rh,Chamaecrista fasciculata,19681576,8934342,45.39%,2635150,13.39%,1690084,8.59%,May-25
DSNY-66-1-Ro,Chamaecrista fasciculata,2055894,1052152,51.18%,763764,37.15%,19536,0.95%,May-25
DSNY-67-3-No,Desmodium triflorum,8184586,4941184,60.37%,2803554,34.25%,2258844,27.60%,May-25
DSNY-67-3-Rh,Desmodium triflorum,4355236,2410626,55.35%,526602,12.09%,694140,15.94%,May-25
DSNY-67-3-Ro,Desmodium triflorum,17230354,15088654,87.57%,8912374,51.72%,57576,0.33%,May-25
DSNY-68-1-No,Desmodium triflorum,9614508,4647626,48.34%,2565158,26.68%,4424114,46.01%,May-25
DSNY-68-1-Rh,Desmodium triflorum,18716956,8949152,47.81%,3107578,16.60%,2077472,11.10%,May-25
DSNY-68-1-Ro,Desmodium triflorum,14933662,11609846,77.74%,5776846,38.68%,779974,5.22%,May-25
DSNY-69-1-No,Chamaecrista nictitans,12341370,4736510,38.38%,803494,6.51%,6687096,54.18%,May-25
DSNY-69-1-Rh,Chamaecrista nictitans,268598,118158,43.99%,89554,33.34%,40978,15.26%,May-25
DSNY-69-1-Ro,Chamaecrista nictitans,7936028,6628170,83.52%,2724520,34.33%,125996,1.59%,May-25
DSNY-70-1-No,Indigofera hirsuta,5232306,2056818,39.31%,847980,16.21%,2610506,49.89%,May-25
DSNY-70-1-Rh,Indigofera hirsuta,4137714,2317318,56.00%,491950,11.89%,639476,15.45%,May-25
DSNY-70-1-Ro,Indigofera hirsuta,7514500,6320382,84.11%,3360064,44.71%,40374,0.54%,May-25
DSNY-71-1-No,Macroptilium lathroides,8528094,4999868,58.63%,2850490,33.42%,1877536,22.02%,May-25
DSNY-71-1-Rh,Macroptilium lathroides,8649936,4741874,54.82%,889142,10.28%,2197280,25.40%,May-25
DSNY-71-1-Ro,Macroptilium lathroides,8250022,7314334,88.66%,2359198,28.60%,22524,0.27%,May-25
DSNY-7-1-No,Morella pumila,10419426,6462490,62.02%,2005406,19.25%,3352114,32.17%,May-25
DSNY-7-1-Rh,Morella pumila,25150,10552,41.96%,4994,19.86%,1398,5.56%,May-25
DSNY-7-1-Ro,Morella pumila,3986038,1511252,37.91%,369884,9.28%,51230,1.29%,May-25
DSNY-72-1-No,Galactia elliottii,4001828,2288482,57.19%,854062,21.34%,617996,15.44%,May-25
DSNY-72-1-Rh,Galactia elliottii,6352502,2768830,43.59%,884374,13.92%,668294,10.52%,May-25
DSNY-72-1-Ro,Galactia elliottii,4792424,1944538,40.58%,571164,11.92%,797514,16.64%,May-25
DSNY-74-1-No,Sesbania herbacea,18067500,7514862,41.59%,2989490,16.55%,8604994,47.63%,May-25
DSNY-74-1-Rh,Sesbania herbacea,1348972,553362,41.02%,112048,8.31%,559766,41.50%,May-25
DSNY-74-1-Ro,Sesbania herbacea,8635970,6334792,73.35%,3785502,43.83%,361324,4.18%,May-25
DSNY-75-1-No,Chamaecrista nictitans,10690804,6570484,61.46%,1627858,15.23%,3447364,32.25%,May-25
DSNY-75-1-Rh,Chamaecrista nictitans,1153298,477570,41.41%,82280,7.13%,441996,38.32%,May-25
DSNY-75-1-Ro,Chamaecrista nictitans,5176098,4071692,78.66%,1870318,36.13%,161206,3.11%,May-25
DSNY-76-1-No,Chamaecrista fasciculata,4308106,2331506,54.12%,471544,10.95%,1341664,31.14%,May-25
DSNY-76-1-Rh,Chamaecrista fasciculata,6634460,5595686,84.34%,997930,15.04%,351024,5.29%,May-25
DSNY-76-1-Ro,Chamaecrista fasciculata,17409676,10324476,59.30%,5033086,28.91%,6044620,34.72%,May-25
DSNY-77-3-No,Desmodium incanum,2935758,1845898,62.88%,573776,19.54%,173850,5.92%,May-25
DSNY-77-3-Rh,Desmodium incanum,855098,536088,62.69%,67088,7.85%,55692,6.51%,May-25
DSNY-77-3-Ro,Desmodium incanum,3074614,1907882,62.05%,368922,12.00%,228400,7.43%,May-25
DSNY-78-1-No,Sesbania herbacea,16643952,5464842,32.83%,2525212,15.17%,9260432,55.64%,May-25
DSNY-78-1-Rh,Sesbania herbacea,1829878,1186196,64.82%,116746,6.38%,130872,7.15%,May-25
DSNY-78-1-Ro,Sesbania herbacea,8550880,6077974,71.08%,6760864,79.07%,12458,0.15%,May-25
DSNY-79-1-No,Desmodium incanum,11317212,2438974,21.55%,483176,4.27%,8023502,70.90%,May-25
DSNY-79-1-Rh,Desmodium incanum,2064232,1351750,65.48%,114684,5.56%,151304,7.33%,May-25
DSNY-79-1-Ro,Desmodium incanum,2575344,2028008,78.75%,842968,32.73%,30750,1.19%,May-25
DSNY-80-1-No,Galactia volubilis,9208432,2248946,24.42%,323900,3.52%,5175858,56.21%,May-25
DSNY-80-1-Rh,Galactia volubilis,4793426,2988204,62.34%,521826,10.89%,756840,15.79%,May-25
DSNY-80-1-Ro,Galactia volubilis,5402870,4794020,88.73%,971628,17.98%,13392,0.25%,May-25
DSNY-81-1-No,Sesbania herbacea,20900388,8754466,41.89%,6140346,29.38%,10024816,47.96%,May-25
