Accession,Species,Total read count,16S read count,16S on target %,ITS read count,ITS on target %,Symbiosis read count,Symbiosis on target %,Batch
CLBJ-2-Rh,Dalea compacta,7022572,2413176,34.36%,1991032,28.35%,161358,2.30%,May-25
CLBJ-2-Ro,Dalea compacta,7867916,6609922,84.01%,3320418,42.20%,10026,0.13%,May-25
CLBJ-30-1-No,Chamaecrista fasciculata,16526922,3776230,22.85%,1556852,9.42%,11486804,69.50%,May-25
CLBJ-30-1-Rh,Chamaecrista fasciculata,4976086,2398718,48.20%,482152,9.69%,489068,9.83%,May-25
CLBJ-30-1-Ro,Chamaecrista fasciculata,11714308,5803450,49.54%,2169956,18.52%,1722418,14.70%,May-25
CLBJ-31-2-No,Acmispon americanum,5902246,3392486,57.48%,828360,14.03%,1056948,17.91%,May-25
CLBJ-31-2-Rh,Acmispon americanum,3902748,1670798,42.81%,270650,6.93%,222110,5.69%,May-25
CLBJ-31-2-Ro,Acmispon americanum,8674916,5857766,67.53%,1850274,21.33%,218856,2.52%,May-25
CLBJ-3-1-No,Vicia sativa,8611272,6638528,77.09%,955058,11.09%,1106464,12.85%,May-25
CLBJ-3-1-Rh,Vicia sativa,5453086,4089138,74.99%,2936880,53.86%,50526,0.93%,May-25
CLBJ-3-1-Ro,Vicia sativa,44905920,34892468,77.70%,30747814,68.47%,142702,0.32%,May-25
CLBJ-32-1-No,Crotalaria sagittalis,18121500,14748092,81.38%,2490878,13.75%,2440524,13.47%,May-25
CLBJ-32-1-Rh,Crotalaria sagittalis,5792884,2504838,43.24%,563024,9.72%,2364570,40.82%,May-25
CLBJ-32-1-Ro,Crotalaria sagittalis,7737256,6729536,86.98%,567638,7.34%,113730,1.47%,May-25
CLBJ-33-1-No,Stylosanthes biflora,8781332,1700780,19.37%,422340,4.81%,6009214,68.43%,May-25
CLBJ-33-1-Rh,Stylosanthes biflora,11128618,8135358,73.10%,3056336,27.46%,371018,3.33%,May-25
CLBJ-33-1-Ro,Stylosanthes biflora,5614736,4824888,85.93%,782752,13.94%,79794,1.42%,May-25
CLBJ-34-1-No,Lespedeza virginica,9743110,3130470,32.13%,196366,2.02%,5690400,58.40%,May-25
CLBJ-34-1-Rh,Lespedeza virginica,4809630,3507056,72.92%,553316,11.50%,640238,13.31%,May-25
CLBJ-34-1-Ro,Lespedeza virginica,13909126,13257692,95.32%,1987244,14.29%,42930,0.31%,May-25
CLBJ-35-1-No,Rhynchosia latifolia,11950984,3829356,32.04%,2533176,21.20%,269698,2.26%,May-25
CLBJ-35-1-Rh,Rhynchosia latifolia,3926154,2425460,61.78%,668396,17.02%,127650,3.25%,May-25
CLBJ-35-1-Ro,Rhynchosia latifolia,4791510,2585208,53.95%,1257042,26.23%,54998,1.15%,May-25
CLBJ-36-1-No,Trifolium arvense,5197152,3414350,65.70%,668262,12.86%,556214,10.70%,May-25
CLBJ-36-1-Rh,Trifolium arvense,4571522,2510142,54.91%,527856,11.55%,327458,7.16%,May-25
CLBJ-36-1-Ro,Trifolium arvense,9792596,6832298,69.77%,2205480,22.52%,846744,8.65%,May-25
CLBJ-37-1-No,Trifolium vesiculosum,66280874,19941516,30.09%,6647484,10.03%,45907702,69.26%,May-25
CLBJ-37-1-Rh,Trifolium vesiculosum,7430660,4660262,62.72%,688738,9.27%,753836,10.14%,May-25
CLBJ-37-1-Ro,Trifolium vesiculosum,10278166,8086716,78.68%,6317362,61.46%,290474,2.83%,May-25
CLBJ-38-1-No,Desmodium sessifolium,12188690,6812806,55.89%,2481380,20.36%,4194096,34.41%,May-25
CLBJ-38-1-Rh,Desmodium sessifolium,9391596,5310214,56.54%,954182,10.16%,796352,8.48%,May-25
CLBJ-39-1-No,Chamaecrista fasciculata,15674398,5936724,37.88%,3291382,21.00%,8795112,56.11%,May-25
CLBJ-39-1-Rh,Chamaecrista fasciculata,8668838,5356086,61.79%,1442350,16.64%,189788,2.19%,May-25
CLBJ-4-1-No,Dalea aurea,14145456,5497860,38.87%,2783640,19.68%,6103978,43.15%,May-25
CLBJ-4-1-Rh,Dalea aurea,4030106,2273590,56.42%,716414,17.78%,73540,1.82%,May-25
CLBJ-4-1-Ro,Dalea aurea,10897644,8880706,81.49%,3960622,36.34%,560524,5.14%,May-25
CLBJ-43-2-No,Indigofera miniata,6118244,4220688,68.99%,778518,12.72%,659584,10.78%,May-25
CLBJ-43-2-Rh,Indigofera miniata,3389828,1972022,58.17%,433096,12.78%,353124,10.42%,May-25
CLBJ-43-2-Ro,Indigofera miniata,3543046,2255356,63.66%,909228,25.66%,117808,3.33%,May-25
CLBJ-45-2-Rh,Lespedeza virginica,4368000,2174904,49.79%,575238,13.17%,196172,4.49%,May-25
CLBJ-45-2-Ro,Lespedeza virginica,9244940,8274190,89.50%,1663248,17.99%,10692,0.12%,May-25
CLBJ-48-1-No,Indigofera miniata,9475094,4337322,45.78%,1715730,18.11%,2817068,29.73%,May-25
CLBJ-48-1-Rh,Indigofera miniata,9837800,4998058,50.80%,1381304,14.04%,529792,5.39%,May-25
CLBJ-48-1-Ro,Indigofera miniata,11860350,11185620,94.31%,1277842,10.77%,12424,0.10%,May-25
CLBJ-49-1-Rh,Senna roemeriana,9287794,4308302,46.39%,1546974,16.66%,486280,5.24%,May-25
CLBJ-49-1-Ro,Senna roemeriana,12449152,11002450,88.38%,1751572,14.07%,14590,0.12%,May-25
CLBJ-50-3-No,Dalea multiflora,5448430,3641474,66.84%,1309372,24.03%,554112,10.17%,May-25
CLBJ-50-3-Rh,Dalea multiflora,5975704,3150486,52.72%,843834,14.12%,338810,5.67%,May-25
CLBJ-50-3-Ro,Dalea multiflora,14488826,13077374,90.26%,1790878,12.36%,41182,0.28%,May-25
CLBJ-5-2-No,Astragalus lotiflorus,24975152,5112084,20.47%,1177414,4.71%,18477476,73.98%,May-25
CLBJ-5-2-Rh,Astragalus lotiflorus,97970,35836,36.58%,13032,13.30%,34748,35.47%,May-25
CLBJ-5-2-Ro,Astragalus lotiflorus,9213532,7090284,76.96%,5138410,55.77%,16162,0.18%,May-25
CLBJ-6-3-No,Indigofera miniata,2208350,1130682,51.20%,500770,22.68%,323514,14.65%,May-25
CLBJ-6-3-Rh,Indigofera miniata,1071818,582264,54.32%,123332,11.51%,25236,2.35%,May-25
CLBJ-6-3-Ro,Indigofera miniata,944064,475548,50.37%,113992,12.07%,10480,1.11%,May-25
CLBJ-7-1-No,Neptunia lutea,1185572,898092,75.75%,166026,14.00%,31072,2.62%,May-25
CLBJ-7-1-Rh,Neptunia lutea,8728272,1882800,21.57%,2481052,28.43%,43646,0.50%,May-25
CLBJ-7-1-Ro,Neptunia lutea,3555134,2784224,78.32%,1664386,46.82%,12188,0.34%,May-25
CLBJ-8-1-No,Gleditsia triacanthus,4763552,2692602,56.53%,1829146,38.40%,67712,1.42%,May-25
CLBJ-8-1-Rh,Gleditsia triacanthus,4172484,2897128,69.43%,933676,22.38%,58478,1.40%,May-25
CLBJ-8-1-Ro,Gleditsia triacanthus,7079896,2892140,40.85%,1949972,27.54%,55694,0.79%,May-25
CLBJ-9-1-No,Lespedeza procumbens,2269872,1353688,59.64%,908740,40.03%,403682,17.78%,May-25
CLBJ-9-1-Rh,Lespedeza procumbens,2482268,1630850,65.70%,519794,20.94%,65062,2.62%,May-25
